Frequency (GHz),Beta_TE_1,Alpha_TE_1,Beta_TM_1,Alpha_TM_1,Beta_TE_2,Alpha_TE_2,Beta_TM_2,Alpha_TM_2,Beta_TE_3,Alpha_TE_3,Beta_TM_3,Alpha_TM_3,Beta_TE_4,Alpha_TE_4,Beta_TM_4,Alpha_TM_4,Beta_TE_5,Alpha_TE_5,Beta_TM_5,Alpha_TM_5,Beta_TE_6,Alpha_TE_6,Beta_TM_6,Alpha_TM_6
50.909090909090914,3.0557807364096554,0.0,2.2801336435179205,0.0,1.7421896081432449,0.0,0.988718224523607,0.0,1.000000000000072,0.0,0.8274081556806555,0.0,1.0000000000000462,0.0,0.0,0.0,1.0000000000000213,0.0,0.0,0.0,1.0000000000000115,0.0,0.0,0.0
51.81818181818182,3.059708678692743,0.0,2.315425147959111,0.0,1.7894461930626764,0.0,0.9902138781078184,0.0,1.0000000000000302,0.0,0.8380929929904876,0.0,1.0000000000000293,0.0,0.11837204112797302,0.0,1.0000000000000107,0.0,0.0,0.0,0.8558089043691003,0.0,0.0,0.0
52.727272727272734,3.0634710405959726,0.0,2.348649660157413,0.0,1.8344503290156846,0.0,0.991651964032686,0.0,1.0000000000000497,0.0,0.8480012466075499,0.0,1.0000000000000213,0.0,0.21844548174243947,0.0,0.8626209186381018,0.0,0.0,0.0,0.21844548174247608,0.0,0.0,0.0
53.63636363636364,3.067076997663401,0.0,2.379965932738727,0.0,1.8773230707360844,0.0,0.9930520157980557,0.0,1.000000000000024,0.0,0.8572442748261566,0.0,1.0000000000000115,0.0,0.2823572103067809,0.0,1.000000000000008,0.0,0.19275677776306688,0.0,1.000000000000008,0.0,0.0,0.0
54.54545454545455,3.070535099531618,0.0,2.409518606073135,0.0,1.9181834574917394,0.0,0.9944331388164905,0.0,1.0000000000000497,0.0,0.8659154839989331,0.0,1.0000000000000435,0.0,0.33188217180047147,0.0,1.000000000000016,0.0,0.27456444082416,0.0,1.0000000000000133,0.0,0.0,0.0
55.45454545454546,3.0738533203293454,0.0,2.437439381656531,0.0,1.9571464289827878,0.0,0.9958148709475682,0.0,1.0000000000000329,0.0,0.874094310133759,0.0,1.0000000000000249,0.0,0.37293723392757466,0.0,1.0000000000000178,0.0,0.33436464792171705,0.0,0.8800310618305399,0.0,0.0,0.0
56.363636363636374,3.077039104424488,0.0,2.463848186823257,0.0,1.9943216619992612,0.0,0.9972181187365388,0.0,1.0000000000000488,0.0,0.8818491594771188,0.0,1.000000000000024,0.0,0.40820308543992245,0.0,1.0000000000000098,0.0,0.382837109793172,0.0,1.0000000000000062,0.0,0.0,0.0
57.27272727272727,3.0800994080012574,0.0,2.4888542846599777,0.0,2.029812992878733,0.0,0.9986662569589618,0.0,1.0000000000000657,0.0,0.8892395655255201,0.0,1.0000000000000435,0.0,0.4391764876044261,0.0,1.0000000000000107,0.0,0.4240675725814202,0.0,1.0000000000000098,0.0,0.0,0.0
58.18181818181819,3.083040736893208,0.0,2.5125573062010096,0.0,2.0637182112021253,0.0,1.0001865019806706,0.0,1.0000000000000444,0.0,0.8963177163618875,0.0,1.0000000000000302,0.0,0.46679927260174714,0.0,1.0000000000000213,0.0,0.4601638965157379,0.0,0.9999999999999956,0.0,0.0,0.0
59.0909090909091,3.085869181050981,0.0,2.535048195757885,0.0,2.0961290861160222,0.0,1.0018117065560985,0.0,1.0000000000000684,0.0,0.9031294249651702,0.0,1.0000000000000338,0.0,0.4923950758864173,0.0,1.0000000000000213,0.0,0.49171233073995474,0.0,1.0000000000000018,0.0,0.0,0.0
